"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","1 uF","Capacitor_THT:C_Radial_D4.0mm_H7.0mm_P1.50mm",""
"2","D1, D2, D3","3","LED","LED_THT:LED_D3.0mm",""
"3","J1","1","Analog","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"4","J2","1","PicKit","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"5","J3","1","LCD1602A","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical",""
"6","J4","1","Speed Sensor","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"7","J5","1","Bornera Alimentación","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",""
"8","J6","1","PWM motor","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"9","R1, R2, R3, R5","4","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"10","R4","1","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"11","RV1","1","10k","Potentiometer_THT:Potentiometer_Piher_PC-16_Single_Horizontal",""
"12","SW1, SW2, SW3, SW4","4","SW_Push","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"13","SW5","1","SW_Push","Button_Switch_THT:SW_PUSH_6mm",""
"14","U1","1","L7805","Package_TO_SOT_THT:TO-220-3_Vertical",""
"15","U3","1","PIC18F4550-IP","Package_DIP:DIP-40_W15.24mm",""
